,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-28 12:00,  2024-04-28 20:00,9,9,0.58,312,18,0.4,36,5,0.42,312,18
1,001,  2024-04-28 13:00,  2024-04-28 21:00,356,6,0.59,312,18,0.4,36,5,0.43,312,18
2,002,  2024-04-28 14:00,  2024-04-28 22:00,325,3,0.59,312,18,0.41,36,5,0.43,312,18
3,003,  2024-04-28 15:00,  2024-04-28 23:00,255,3,0.59,312,18,0.4,36,5,0.43,312,18
4,004,  2024-04-28 16:00,  2024-04-29 00:00,222,4,0.59,312,18,0.4,36,5,0.44,312,18
5,005,  2024-04-28 17:00,  2024-04-29 01:00,196,6,0.59,312,18,0.4,36,5,0.44,312,18
6,006,  2024-04-28 18:00,  2024-04-29 02:00,179,7,0.59,312,18,0.4,36,6,0.44,312,18
7,007,  2024-04-28 19:00,  2024-04-29 03:00,181,8,0.59,312,18,0.4,36,6,0.44,312,18
8,008,  2024-04-28 20:00,  2024-04-29 04:00,181,9,0.59,312,18,0.4,36,6,0.44,312,18
9,009,  2024-04-28 21:00,  2024-04-29 05:00,168,9,0.58,312,18,0.39,36,6,0.43,312,18
10,010,  2024-04-28 22:00,  2024-04-29 06:00,160,9,0.58,312,18,0.39,36,6,0.43,312,18
11,011,  2024-04-28 23:00,  2024-04-29 07:00,159,9,0.58,312,17,0.38,36,6,0.44,312,17
12,012,  2024-04-29 00:00,  2024-04-29 08:00,159,9,0.57,312,17,0.38,36,6,0.44,312,17
13,013,  2024-04-29 01:00,  2024-04-29 09:00,149,9,0.57,312,17,0.37,36,6,0.44,312,17
14,014,  2024-04-29 02:00,  2024-04-29 10:00,119,8,0.57,312,17,0.37,36,6,0.44,312,17
15,015,  2024-04-29 03:00,  2024-04-29 11:00,95,10,0.57,312,17,0.37,36,6,0.44,312,17
16,016,  2024-04-29 04:00,  2024-04-29 12:00,86,13,0.59,312,17,0.39,36,6,0.44,312,17
17,017,  2024-04-29 05:00,  2024-04-29 13:00,82,14,0.68,300,17,0.52,36,6,0.44,300,17
18,018,  2024-04-29 06:00,  2024-04-29 14:00,78,14,0.73,300,17,0.59,36,6,0.44,300,17
