,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s],sw2_ht[m],sw2_dir[degree],sw2_pd[s],sw3_ht[m],sw3_dir[degree],sw3_pd[s]
0,000,  2024-04-25 12:00,  2024-04-25 20:00,55,8,0.61,60,5,0.56,60,5,0.19,300,13,0.18,300,14,0.09,312,17
1,001,  2024-04-25 13:00,  2024-04-25 21:00,45,8,0.58,60,5,0.52,60,5,0.18,300,13,0.17,300,14,0.09,312,17
2,002,  2024-04-25 14:00,  2024-04-25 22:00,40,8,0.54,60,5,0.49,60,5,0.18,300,13,0.17,300,14,0.09,312,17
3,003,  2024-04-25 15:00,  2024-04-25 23:00,40,6,0.52,60,5,0.46,60,5,0.18,300,13,0.17,300,14,0.09,312,17
4,004,  2024-04-25 16:00,  2024-04-26 00:00,68,5,0.49,60,5,0.43,60,5,0.18,300,13,0.17,300,14,0.09,312,17
5,005,  2024-04-25 17:00,  2024-04-26 01:00,81,6,0.47,300,13,0.41,60,5,0.17,300,13,0.17,300,14,0.09,312,17
6,006,  2024-04-25 18:00,  2024-04-26 02:00,92,6,0.45,300,13,0.39,60,5,0.17,300,13,0.17,300,14,0.09,312,17
7,007,  2024-04-25 19:00,  2024-04-26 03:00,117,8,0.43,300,14,0.37,60,5,0.17,300,13,0.17,300,14,0.09,312,17
8,008,  2024-04-25 20:00,  2024-04-26 04:00,120,8,0.41,300,14,0.35,60,5,0.17,300,13,0.17,300,14,0.09,312,17
9,009,  2024-04-25 21:00,  2024-04-26 05:00,124,8,0.4,300,14,0.33,60,5,0.17,300,13,0.16,300,14,0.09,312,17
10,010,  2024-04-25 22:00,  2024-04-26 06:00,125,10,0.38,300,14,0.31,60,5,0.16,300,13,0.16,300,14,0.09,312,17
11,011,  2024-04-25 23:00,  2024-04-26 07:00,119,11,0.37,300,14,0.3,60,5,0.16,300,13,0.16,300,14,0.09,312,17
12,012,  2024-04-26 00:00,  2024-04-26 08:00,110,13,0.39,300,14,0.32,60,5,0.16,300,13,0.16,300,14,0.09,312,17
13,013,  2024-04-26 01:00,  2024-04-26 09:00,99,14,0.5,300,14,0.45,60,3,0.16,300,13,0.16,300,14,0.09,312,17
14,014,  2024-04-26 02:00,  2024-04-26 10:00,87,15,0.6,60,14,0.56,60,3,0.16,300,13,0.16,300,14,0.09,312,17
15,015,  2024-04-26 03:00,  2024-04-26 11:00,78,16,0.69,60,4,0.66,60,4,0.15,300,13,0.16,300,14,0.09,312,17
16,016,  2024-04-26 04:00,  2024-04-26 12:00,70,16,0.75,60,4,0.72,60,4,0.15,300,13,0.16,300,14,0.09,312,17
17,017,  2024-04-26 05:00,  2024-04-26 13:00,63,15,0.76,48,4,0.73,60,4,0.15,300,13,0.16,300,14,0.09,312,17
18,018,  2024-04-26 06:00,  2024-04-26 14:00,57,14,0.74,48,5,0.71,60,5,0.15,300,13,0.16,300,14,0.09,312,17
19,019,  2024-04-26 07:00,  2024-04-26 15:00,53,13,0.72,48,5,0.69,60,5,0.15,300,13,0.16,300,14,0.09,312,17
20,020,  2024-04-26 08:00,  2024-04-26 16:00,50,13,0.7,48,5,0.67,60,5,0.15,300,13,0.16,300,14,0.1,312,17
21,021,  2024-04-26 09:00,  2024-04-26 17:00,46,12,0.69,60,5,0.65,60,5,0.15,300,13,0.16,300,14,0.1,312,17
22,022,  2024-04-26 10:00,  2024-04-26 18:00,42,12,0.67,60,5,0.64,60,5,0.15,300,13,0.16,300,14,0.1,312,17
23,023,  2024-04-26 11:00,  2024-04-26 19:00,41,12,0.65,60,5,0.62,60,5,0.15,300,13,0.16,300,14,0.1,312,18
24,024,  2024-04-26 12:00,  2024-04-26 20:00,34,11,0.63,60,5,0.6,60,5,0.15,300,13,0.16,300,14,0.11,312,18
25,025,  2024-04-26 13:00,  2024-04-26 21:00,24,10,0.61,60,5,0.57,60,5,0.15,300,13,0.16,300,14,0.11,312,18
26,026,  2024-04-26 14:00,  2024-04-26 22:00,13,8,0.58,60,5,0.54,60,5,0.15,300,13,0.16,300,14,0.11,312,18
27,027,  2024-04-26 15:00,  2024-04-26 23:00,360,7,0.55,60,5,0.51,60,5,0.15,300,13,0.17,300,14,0.12,312,17
28,028,  2024-04-26 16:00,  2024-04-27 00:00,341,6,0.53,60,5,0.48,60,5,0.15,300,13,0.17,300,14,0.12,312,17
29,029,  2024-04-26 17:00,  2024-04-27 01:00,311,5,0.5,60,5,0.46,60,5,0.14,300,13,0.17,300,17,0.12,312,17
30,030,  2024-04-26 18:00,  2024-04-27 02:00,279,4,0.48,60,5,0.43,60,5,0.14,300,13,0.17,312,17,0.13,312,17
31,031,  2024-04-26 19:00,  2024-04-27 03:00,215,4,0.45,300,16,0.39,60,5,0.14,300,13,0.18,312,17,0.13,312,17
32,032,  2024-04-26 20:00,  2024-04-27 04:00,173,7,0.43,300,16,0.37,60,5,0.14,300,13,0.18,312,17,0.13,312,17
33,033,  2024-04-26 21:00,  2024-04-27 05:00,139,10,0.41,300,16,0.34,72,5,0.13,300,13,0.18,312,17,0.14,312,17
34,034,  2024-04-26 22:00,  2024-04-27 06:00,128,11,0.39,300,16,0.32,72,5,0.13,300,13,0.19,312,17,0.14,312,17
35,035,  2024-04-26 23:00,  2024-04-27 07:00,129,10,0.38,300,16,0.31,72,5,0.13,300,13,0.19,312,17,0.14,312,17
36,036,  2024-04-27 00:00,  2024-04-27 08:00,126,9,0.37,300,16,0.29,72,5,0.13,300,13,0.19,312,17,0.14,312,17
37,037,  2024-04-27 01:00,  2024-04-27 09:00,123,7,0.36,300,16,0.28,72,5,0.13,300,13,0.2,312,17,0.15,312,17
38,038,  2024-04-27 02:00,  2024-04-27 10:00,111,7,0.36,300,16,0.27,72,5,0.13,300,13,0.2,312,17,0.15,312,17
39,039,  2024-04-27 03:00,  2024-04-27 11:00,100,7,0.35,300,16,0.26,72,5,0.13,300,13,0.2,312,17,0.15,312,17
40,040,  2024-04-27 04:00,  2024-04-27 12:00,91,7,0.34,300,16,0.25,60,5,0.12,300,13,0.2,312,17,0.15,312,17
41,041,  2024-04-27 05:00,  2024-04-27 13:00,85,8,0.34,300,16,0.24,60,5,0.12,300,13,0.2,312,17,0.15,312,17
42,042,  2024-04-27 06:00,  2024-04-27 14:00,76,8,0.34,300,16,0.23,60,5,0.12,300,13,0.21,312,17,0.16,312,17
43,043,  2024-04-27 07:00,  2024-04-27 15:00,66,8,0.33,300,16,0.23,60,5,0.12,300,13,0.21,312,17,0.16,312,17
44,044,  2024-04-27 08:00,  2024-04-27 16:00,60,8,0.33,300,16,0.22,60,5,0.12,300,13,0.21,312,17,0.16,312,17
45,045,  2024-04-27 09:00,  2024-04-27 17:00,56,8,0.34,300,16,0.22,60,5,0.12,300,13,0.21,300,17,0.16,312,17
46,046,  2024-04-27 10:00,  2024-04-27 18:00,50,8,0.34,300,16,0.22,60,5,0.12,300,13,0.22,300,15,0.16,312,17
47,047,  2024-04-27 11:00,  2024-04-27 19:00,41,8,0.35,300,15,0.23,60,5,0.12,300,13,0.22,300,15,0.17,312,17
48,048,  2024-04-27 12:00,  2024-04-27 20:00,33,8,0.35,300,15,0.24,60,5,0.12,300,13,0.22,300,15,0.17,312,17
49,049,  2024-04-27 13:00,  2024-04-27 21:00,19,8,0.36,300,15,0.24,60,4,0.12,300,13,0.22,300,15,0.17,312,17
50,050,  2024-04-27 14:00,  2024-04-27 22:00,357,9,0.37,312,15,0.25,60,4,0.13,300,13,0.22,300,15,0.18,312,17
51,051,  2024-04-27 15:00,  2024-04-27 23:00,338,9,0.37,312,15,0.25,60,4,0.13,300,13,0.22,300,15,0.18,312,17
52,052,  2024-04-27 16:00,  2024-04-28 00:00,327,8,0.38,312,15,0.25,60,4,0.13,300,13,0.22,300,15,0.19,312,22
53,053,  2024-04-27 17:00,  2024-04-28 01:00,304,4,0.38,312,15,0.25,60,4,0.13,300,13,0.22,300,15,0.2,312,22
54,054,  2024-04-27 18:00,  2024-04-28 02:00,212,3,0.39,312,15,0.25,60,4,0.13,300,13,0.23,300,15,0.2,312,22
55,055,  2024-04-27 19:00,  2024-04-28 03:00,186,5,0.4,312,15,0.25,60,5,0.14,300,13,0.23,300,15,0.21,312,22
56,056,  2024-04-27 20:00,  2024-04-28 04:00,173,7,0.4,312,21,0.25,60,5,0.14,300,13,0.23,300,15,0.22,312,22
57,057,  2024-04-27 21:00,  2024-04-28 05:00,167,9,0.41,312,21,0.26,24,5,0.14,300,13,0.23,300,15,0.23,312,22
58,058,  2024-04-27 22:00,  2024-04-28 06:00,153,9,0.42,312,21,0.26,24,5,0.15,300,13,0.23,300,15,0.24,312,20
59,059,  2024-04-27 23:00,  2024-04-28 07:00,134,10,0.42,312,20,0.26,24,5,0.15,300,13,0.23,300,15,0.25,312,20
60,060,  2024-04-28 00:00,  2024-04-28 08:00,124,10,0.43,312,20,0.26,24,5,0.16,300,13,0.24,300,15,0.26,312,20
61,061,  2024-04-28 01:00,  2024-04-28 09:00,116,10,0.44,312,20,0.27,24,6,0.16,300,13,0.24,312,15,0.27,312,20
62,062,  2024-04-28 02:00,  2024-04-28 10:00,108,9,0.45,312,20,0.27,24,6,0.16,300,13,0.24,312,18,0.28,312,20
63,063,  2024-04-28 03:00,  2024-04-28 11:00,99,9,0.46,312,20,0.28,24,6,0.17,300,13,0.25,312,18,0.29,312,20
64,064,  2024-04-28 04:00,  2024-04-28 12:00,89,9,0.47,312,20,0.28,24,6,0.17,300,13,0.25,312,18,0.3,312,20
65,065,  2024-04-28 05:00,  2024-04-28 13:00,80,10,0.48,312,20,0.29,24,6,0.17,300,13,0.26,312,18,0.31,312,20
66,066,  2024-04-28 06:00,  2024-04-28 14:00,75,9,0.49,312,20,0.29,24,6,0.18,300,13,0.27,312,18,0.31,312,20
67,067,  2024-04-28 07:00,  2024-04-28 15:00,63,9,0.5,312,20,0.3,24,6,0.18,300,13,0.28,312,18,0.32,312,20
68,068,  2024-04-28 08:00,  2024-04-28 16:00,51,9,0.51,312,19,0.32,24,6,0.18,300,13,0.29,312,18,0.33,312,20
69,069,  2024-04-28 09:00,  2024-04-28 17:00,35,9,0.53,312,19,0.34,24,6,0.19,300,13,0.3,312,18,0.33,312,20
70,070,  2024-04-28 10:00,  2024-04-28 18:00,16,11,0.56,312,19,0.37,24,6,0.19,300,13,0.31,312,18,0.34,312,18
71,071,  2024-04-28 11:00,  2024-04-28 19:00,5,12,0.59,312,19,0.4,24,6,0.2,300,13,0.32,312,18,0.35,312,18
72,072,  2024-04-28 12:00,  2024-04-28 20:00,358,11,0.61,312,18,0.43,24,7,0.21,300,13,0.33,312,18,0.35,312,18
73,073,  2024-04-28 13:00,  2024-04-28 21:00,347,9,0.63,312,18,0.44,36,4,0.21,300,13,0.34,312,18,0.36,312,18
74,074,  2024-04-28 14:00,  2024-04-28 22:00,319,5,0.63,312,18,0.43,36,5,0.22,300,13,0.35,312,18,0.36,312,18
75,075,  2024-04-28 15:00,  2024-04-28 23:00,268,4,0.62,312,18,0.42,36,7,0.23,300,13,0.35,312,18,0.36,312,18
76,076,  2024-04-28 16:00,  2024-04-29 00:00,270,4,0.62,312,18,0.41,36,7,0.24,300,13,0.36,312,18,0.36,312,18
77,077,  2024-04-28 17:00,  2024-04-29 01:00,192,6,0.61,312,18,0.4,36,7,0.24,300,13,0.36,312,18,0.36,312,18
78,078,  2024-04-28 18:00,  2024-04-29 02:00,179,10,0.6,312,18,0.38,36,7,0.25,300,13,0.36,312,18,0.36,312,18
79,079,  2024-04-28 19:00,  2024-04-29 03:00,188,9,0.6,312,18,0.38,36,7,0.26,300,13,0.37,312,18,0.35,312,18
80,080,  2024-04-28 20:00,  2024-04-29 04:00,190,8,0.6,312,18,0.38,36,7,0.26,36,13,0.37,312,18,0.35,312,18
81,081,  2024-04-28 21:00,  2024-04-29 05:00,173,8,0.6,312,18,0.38,36,7,0.27,36,13,0.37,312,18,0.35,312,18
82,082,  2024-04-28 22:00,  2024-04-29 06:00,151,8,0.61,312,17,0.38,36,7,0.28,36,13,0.37,312,18,0.34,312,18
83,083,  2024-04-28 23:00,  2024-04-29 07:00,137,8,0.61,312,17,0.38,36,7,0.29,36,7,0.38,312,17,0.34,312,17
84,084,  2024-04-29 00:00,  2024-04-29 08:00,133,9,0.61,312,17,0.38,36,7,0.29,36,7,0.38,312,17,0.34,312,17
85,085,  2024-04-29 01:00,  2024-04-29 09:00,125,11,0.61,312,17,0.38,36,7,0.3,36,7,0.39,312,17,0.33,312,17
86,086,  2024-04-29 02:00,  2024-04-29 10:00,106,15,0.64,312,17,0.42,36,7,0.3,36,7,0.39,312,17,0.33,312,17
87,087,  2024-04-29 03:00,  2024-04-29 11:00,96,18,0.8,312,17,0.64,36,7,0.3,36,7,0.39,312,17,0.33,312,17
88,088,  2024-04-29 04:00,  2024-04-29 12:00,92,17,0.92,300,17,0.78,36,3,0.31,36,7,0.39,312,17,0.33,312,17
89,089,  2024-04-29 05:00,  2024-04-29 13:00,86,15,0.9,300,17,0.75,36,4,0.31,36,13,0.39,312,17,0.32,312,17
90,090,  2024-04-29 06:00,  2024-04-29 14:00,77,12,0.83,300,17,0.67,36,5,0.31,36,13,0.39,312,17,0.32,312,17
91,091,  2024-04-29 07:00,  2024-04-29 15:00,61,9,0.77,300,16,0.6,36,7,0.31,36,13,0.39,312,17,0.32,312,17
92,092,  2024-04-29 08:00,  2024-04-29 16:00,28,6,0.73,300,16,0.55,36,7,0.31,36,13,0.39,312,17,0.31,312,17
93,093,  2024-04-29 09:00,  2024-04-29 17:00,344,6,0.69,300,16,0.5,36,7,0.31,36,13,0.39,312,17,0.31,312,17
94,094,  2024-04-29 10:00,  2024-04-29 18:00,332,8,0.67,300,16,0.47,36,7,0.31,36,13,0.39,312,17,0.3,312,17
95,095,  2024-04-29 11:00,  2024-04-29 19:00,334,9,0.65,300,16,0.45,36,7,0.3,36,13,0.38,312,17,0.29,312,17
96,096,  2024-04-29 12:00,  2024-04-29 20:00,342,8,0.63,300,16,0.43,36,7,0.3,36,13,0.38,312,17,0.28,312,17
97,097,  2024-04-29 13:00,  2024-04-29 21:00,338,6,0.62,300,16,0.42,36,7,0.3,300,13,0.38,312,17,0.28,312,17
98,098,  2024-04-29 14:00,  2024-04-29 22:00,329,3,0.62,300,16,0.42,36,7,0.3,300,13,0.37,312,17,0.27,312,17
99,099,  2024-04-29 15:00,  2024-04-29 23:00,289,1,0.62,300,16,0.42,36,7,0.3,300,13,0.37,312,17,0.26,312,17
